Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 1.25
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
paciencia	paciencia	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.97	 1.01	
patio   	patio   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
perfume 	perfume 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
foto    	foto    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.77	 1.00	
planeta 	planeta 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
planos  	planes  	 0.83	 0.83	 0.83	 0.83	 0.88	 0.67	 0.64	 0.81	
plantas 	plantas 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.97	 1.00	
praca   	plaza   	 0.60	 0.60	 0.60	 0.60	 0.71	 0.25	 0.14	 0.31	
pretensao	pretension	 0.89	 0.89	 0.56	 0.44	 0.82	 0.79	 0.70	 0.85	
propaganda	propaganda	 1.00	 1.00	 1.00	 0.90	 1.00	 1.00	 0.88	 1.00	
protetor	protector	 0.62	 0.75	 0.88	 0.88	 1.00	 0.94	 0.62	 1.04	
radical 	radical 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
radio   	radio   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
rancho  	rancho  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
realidade	realidad	 0.89	 0.89	 0.89	 0.44	 0.82	 0.89	 0.80	 0.91	
regiao  	region  	 0.67	 0.67	 0.50	 0.67	 0.75	 0.67	 0.68	 0.75	
religiao	religion	 0.75	 0.75	 0.50	 0.75	 0.80	 0.81	 0.69	 0.79	
reuniao 	reunion 	 0.71	 0.71	 0.71	 0.71	 0.78	 0.73	 0.75	 0.82	
revisao 	revision	 0.86	 0.86	 0.57	 0.57	 0.78	 0.73	 0.73	 0.84	
ritual  	ritual  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
sabor   	sabor   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
salario 	salario 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.89	 1.00	
serie   	serie   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.94	 1.00	
sofa    	sofa    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
subversao	subversion	 0.89	 0.89	 0.89	 0.44	 0.82	 0.81	 0.78	 0.88	
sugestion	sugestao	 0.78	 0.78	 0.44	 0.44	 0.73	 0.67	 0.65	 0.67	
taxi    	taxi    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
televisao	television	 0.89	 0.89	 0.56	 0.44	 0.82	 0.79	 0.72	 0.86	
terror  	terror  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.72	 1.00	
total   	total   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
transito	transito	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
uniforme	uniforme	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
uniao   	union   	 0.60	 0.60	 0.60	 0.60	 0.71	 0.56	 0.61	 0.70	
universo	universo	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
universidade	universidad	 0.92	 0.83	 0.83	 0.33	 0.86	 0.93	 0.85	 0.93	
vegetais	vegetales	 0.75	 0.75	 0.62	 0.62	 0.90	 0.69	 0.62	 0.78	
velocidade	velocidad	 0.90	 0.90	 0.90	 0.40	 0.83	 0.91	 0.82	 0.92	
versao  	version 	 0.83	 0.83	 0.67	 0.50	 0.75	 0.67	 0.64	 0.81	
violino 	violin  	 0.86	 0.86	 0.86	 0.43	 0.78	 0.86	 0.83	 0.87	
advertencia	advertencia	 1.00	 0.91	 0.91	 0.82	 1.00	 1.00	 0.98	 1.01	
danca   	danza   	 0.80	 0.80	 0.80	 0.80	 0.86	 0.56	 0.54	 0.72	
jugo    	jugo    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
jarra   	jarra   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.61	 1.00	
via     	vial    	 1.00	 1.00	 1.00	 0.67	 0.80	 1.00	 1.00	 1.00	
sob     	sobre   	 1.00	 1.00	 0.67	 0.67	 0.80	 1.00	 1.00	 1.00	
leopardo	leopardo	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
hipopotamo	hipopotamo	 1.00	 1.00	 1.00	 0.90	 1.00	 1.00	 0.85	 1.00	
grupo   	grupo   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
problema	problema	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
humano  	humano  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
informacao	informacion	 0.90	 0.80	 0.80	 0.40	 0.83	 0.91	 0.77	 0.97	
momento 	momento 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.89	 1.00	
lista   	lista   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
ar      	aire    	 0.50	 1.00	 1.00	 0.50	 0.75	 1.00	 0.60	 0.61	
mortal  	mortal  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
exames  	examenes	 0.83	 0.83	 0.67	 0.83	 1.00	 0.83	 0.94	 0.92	
computador	computadora	 1.00	 1.00	 1.00	 0.40	 0.92	 1.00	 1.00	 1.01	
apartamento	apartamento	 1.00	 0.91	 0.91	 0.82	 1.00	 1.00	 0.92	 1.00	
animais 	animales	 0.71	 0.71	 0.57	 0.71	 0.89	 0.71	 0.70	 0.90	
