Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 2
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
cafe    	cafe    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
cafeteria	cafeteria	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.92	 1.00	
canal   	canal   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
cancer  	cancer  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.96	 1.00	
capital 	capital 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
carbono 	carbon  	 0.86	 0.86	 0.86	 0.43	 0.78	 0.86	 0.74	 0.89	
centro  	center  	 0.67	 0.83	 0.83	 0.67	 0.72	 0.75	 0.71	 0.75	
cheque  	cheque  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.96	 1.00	
chocolate	chocolate	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.89	 1.00	
classe  	class   	 0.83	 0.83	 0.83	 0.67	 0.75	 0.78	 0.68	 0.68	
clube   	club    	 0.80	 0.80	 0.80	 0.40	 0.71	 0.67	 0.73	 0.66	
costa   	coast   	 0.40	 0.80	 0.80	 0.40	 0.68	 0.67	 0.60	 0.90	
cor     	color   	 0.67	 0.67	 0.67	 1.00	 0.86	 0.67	 0.85	 0.78	
combustao	combustion	 0.89	 0.89	 0.89	 0.44	 0.82	 0.81	 0.78	 0.84	
companhia	company 	 0.67	 0.67	 0.33	 0.44	 0.64	 0.57	 0.61	 0.65	
concerto	concert 	 0.88	 0.88	 0.88	 0.50	 0.80	 0.83	 0.82	 0.92	
conclusao	conclusion	 0.89	 0.89	 0.89	 0.44	 0.82	 0.81	 0.75	 0.84	
condutor	conductor	 0.62	 0.75	 0.75	 0.88	 0.92	 0.83	 0.89	 0.94	
confusao	confusion	 0.88	 0.88	 0.50	 0.50	 0.80	 0.78	 0.75	 0.82	
construcao	construction	 0.80	 0.80	 0.80	 0.30	 0.81	 0.78	 0.80	 0.87	
continente	continent	 0.90	 0.90	 0.90	 0.40	 0.83	 0.94	 0.77	 0.93	
controle	control 	 0.88	 0.88	 0.88	 0.50	 0.80	 0.83	 0.85	 0.76	
crise   	crisis  	 0.80	 0.80	 0.80	 0.60	 0.71	 0.67	 0.76	 0.72	
cultura 	culture 	 0.86	 0.86	 0.86	 0.86	 0.78	 0.80	 0.79	 0.73	
debate  	debate  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
decisao 	decision	 0.86	 0.86	 0.57	 0.57	 0.78	 0.73	 0.73	 0.84	
dimensao	dimension	 0.88	 0.88	 0.50	 0.50	 0.80	 0.78	 0.75	 0.85	
