Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 2
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
cafe    	cafe    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
cafeteria	cafeteria	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.92	 1.00	
canal   	canal   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
cancer  	cancer  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.96	 1.00	
capital 	capital 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
carbon  	carbon  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
centro  	center  	 0.67	 0.83	 0.83	 0.67	 0.72	 0.75	 0.71	 0.75	
cheque  	cheque  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.96	 1.00	
chocolate	chocolate	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.89	 1.00	
clase   	class   	 0.80	 0.80	 0.80	 0.80	 0.71	 0.67	 0.73	 0.72	
club    	club    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
costa   	coast   	 0.40	 0.80	 0.80	 0.40	 0.68	 0.67	 0.60	 0.90	
color   	color   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
combustion	combustion	 1.00	 1.00	 1.00	 0.90	 1.00	 1.00	 1.00	 1.01	
compania	company 	 0.75	 0.75	 0.75	 0.50	 0.70	 0.67	 0.71	 0.75	
concierto	concert 	 0.44	 0.67	 0.67	 0.44	 0.65	 0.57	 0.62	 0.78	
conclusion	conclusion	 1.00	 1.00	 1.00	 0.90	 1.00	 1.00	 0.98	 1.00	
conductor	conductor	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
confusion	confusion	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
construccion	construction	 0.92	 0.75	 0.75	 0.75	 0.93	 0.96	 0.89	 1.01	
continente	continent	 0.90	 0.90	 0.90	 0.40	 0.83	 0.94	 0.77	 0.93	
control 	control 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
crisis  	crisis  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.72	 1.00	
cultura 	culture 	 0.86	 0.86	 0.86	 0.86	 0.78	 0.80	 0.79	 0.73	
debate  	debate  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
decision	decision	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.91	 1.00	
dimension	dimension	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
