English,Part_of_Speech,Is_Cognate_EN_PT,Is_Cognate_EN_SP,Is_Cognate_PT_SP,Is_False_Cognate_EN_PT,Is_False_Cognate_EN_SP,Is_False_Cognate_PT_SP,Similar_Word_PT,Similar_Word_SP,Translation_PT,Translation_SP,Comments,Similar_No_Accents_PT,Similar_No_Accents_SP,SOLAR_PT_EN,SOLAR_SP_EN,SOLAR_PT_SP,total_freq,freq_per_million.x,wl,coca_total_freq,coca_freq_per_million,freq,PT_freq_per_million,SP_freq_per_million,OLD20
beef,noun,No,No,yes,Yes,Yes,no,bife,carne,bife,carne,NA,bife,carne,0.58,0.14,0.33,1334,14.86507393602509,4,8852,21.34185551974641,726,0.8334125630111268,86.07142857,1.6
brand,noun,No,No,yes,Yes,No,no,brando,blando,marca,marca,NA,brando,blando,0.75,0.62,0.88,1517,16.90428572784862,5,203,0.4894257422625985,809,0.9286925116749334,7.321428571,1.55
bland,adjective,No,No,yes,No,Yes,no,brando,blando,brando,blando,NA,brando,blando,0.62,0.75,0.88,616,6.86423204242238,5,345,0.8317826654216576,809,0.9286925116749334,7.321428571,1.6
candor,noun,Yes,Yes,Yes,No,No,No,candor,candor,candor,candor,NA,candor,candor,1,1,1,1,0.011143233835101267,6,16,0.03857542796158412,15,0.017219267830808405,1.607142857,1.95
cargo,noun,No,No,Yes,Yes,Yes,No,cargo,cargo,carga,carga,NA,cargo,cargo,1,1,1,846,9.427175824495672,5,NA,NA,64074,73.55382446608118,59.46428571,1.95
commodity,noun,No,No,Yes,Yes,Yes,No,comodidade,comodidad,mercadoria,mercancía,NA,comodidade,comodidad,0.51,0.56,0.83,902,10.051196919261342,9,5,0.012054821237995037,1640,1.882639949501719,7.857142857,3.4
comprehensive,adjective,No,No,no,Yes,Yes,no,compreensivo,comprensivo,abrangente,completo,NA,compreensivo,comprensivo,0.76,0.62,NA,3502,39.02360489052464,13,12182,29.37036646425111,866,0.9941257294320052,NA,4.05
construe,verb,No,No,Yes,Yes,Yes,No,construir,construir,interpretar,interpretar,NA,construir,construir,0.73,0.73,1,109,1.214612488026038,8,191,0.4604941712914104,50701,58.202273219321135,38.03571429,2.8
doze,noun,No,No,No,Yes,Yes,Yes,doce/doze,doce,cochilar,dormitar,NA,doce/doze,doce,0.55,0.83,0.55,71,0.79116960229219,4,269,0.648549382604133,NA,NA,65.53571429,1.45
invite,verb,No,Yes,No,No,No,No,convidar,invitar,convidar,invitar,NA,convidar,invitar,0.3,0.67,0.6,1047,11.666965825351026,6,112,0.2700279957310888,3097,3.5552048314675755,3.571428571,2.1
exit,noun,No,No,Yes,Yes,Yes,No,êxito,éxito,saída,salida,NA,exito,exito,0.71,0.71,1,1184,13.193588860759899,4,NA,NA,19115,21.943086972393512,103.0357143,1.8
fabric,noun,No,No,Yes,Yes,Yes,No,fábrica,fábrica,fábrica,fábrica,NA,fabrica,fabrica,0.78,0.78,1,2049,22.832486128122497,6,8504,20.50283996158196,30913,35.48661509691868,27.67857143,2.8
file,noun,No,No,yes,Yes,Yes,no,fila,fila,arquivo,archivo,NA,fila,fila,0.67,0.67,1,5520,61.51065076975899,4,11643,28.070856734795242,11850,13.60322158633864,18.21428571,1.15
grip,noun,No,No,yes,Yes,Yes,no,gripe,gripe,aperto,agarre,NA,gripe,gripe,0.71,0.71,1,1866,20.793274336298964,4,433,1.0439475192103702,4476,5.138229520713229,7.321428571,1.55
excited,adjective,No,No,no,Yes,Yes,no,excitado,excitado,animado,emocionado,NA,excitado,excitado,0.7,0.7,NA,1762,19.634378017448434,7,3220,7.763304877268804,1450,1.6645292236448126,NA,2
devil,noun,No,No,Yes,Yes,No,No,débil,débil,diabo,diablo,NA,debil,debil,0.86,0.86,1,1579,17.5951662256249,5,22,0.053041213447178166,1252,1.4372348882781416,32.5,1.9
intent,noun,No,No,yes,Yes,Yes,no,intenção,intención,intenção,inención,NA,intencao,intencion,0.6,0.55,0.8,1852,20.637269062607544,6,2462,5.935793977588756,49958,57.34934548610176,53.39285714,1.85
air,noun,yes,yes,yes,no,no,no,ar,aire,ar,aire,NA,ar,aire,0.93,0.67,0.68,18169,202.46141554995492,3,109551,264.1235442887189,86687,99.51244469661921,209.6428571,1.45
adult,noun,yes,yes,yes,no,no,no,adulto,adulto,adulto,adulto,NA,adulto,adulto,0.75,0.75,1,4920,54.824710468698235,5,21917,52.84110341462744,20032,22.995758212450266,17.67857143,1.95
agenda,noun,yes,yes,yes,no,no,no,agenda,agenda,agenda,agenda,NA,agenda,agenda,1,1,1,1934,21.55101423708585,6,15462,37.27832919637585,22260,25.553393460919676,8.75,2.6
agent,noun,yes,yes,yes,no,no,no,agente,agente,agente,agente,NA,agente,agente,0.75,0.75,1,4154,46.28899335101066,5,21661,52.2238965672421,48176,55.30369646780172,27.14285714,1.9
alarm,noun,yes,yes,yes,no,no,no,alarme,alarma,alarme,alarma,NA,alarme,alarma,0.75,0.75,0.75,2145,23.902236576292218,5,682,1.644277616862523,2659,3.0524022108079705,21.60714286,1.95
alcohol,noun,yes,yes,yes,no,no,no,álcool,alcohol,álcool,alcohol,NA,alcool,alcohol,0.93,1,0.93,2883,32.12594314659695,7,16872,40.67778878549045,36281,41.64881707797065,51.42857143,3.35
altar,noun,yes,yes,yes,no,no,no,altar,altar,altar,altar,NA,altar,altar,1,1,1,887,9.884048411734824,5,9,0.021698678228391065,3698,4.245123495888632,17.14285714,1.95
area,noun,yes,yes,yes,no,no,no,área,área,área,área,NA,area,area,1,1,1,31447,350.4212744124295,4,109556,264.13559910995684,464846,533.6205182719976,34.82142857,1.7
artist,noun,yes,yes,yes,no,no,no,artista,artista,artista,artista,NA,artista,artista,0.78,0.78,1,3959,44.11606275316591,6,30277,72.99676452455515,36154,41.503027277003135,34.82142857,2.1
atmosphere,noun,yes,yes,yes,no,no,no,atmosfera,atmósfera,atmosfera,atmósfera,NA,atmosfera,atmosfera,0.68,0.68,1,4668,52.01661554225271,10,15548,37.48567212166937,17853,20.494372572228166,33.39285714,4.15
attention,noun,yes,yes,yes,no,no,no,atenção,atención,atenção,atención,NA,atencao,atencion,0.64,0.87,0.78,13158,146.62267080226246,9,67697,163.21504666971,136656,156.87441764579688,132.3214286,2.55
banana,noun,yes,yes,yes,no,no,no,banana,banana,banana,banana,NA,banana,banana,1,1,1,433,4.825020250598848,6,NA,NA,6980,8.012699297269512,0.892857143,2.4
base,noun,yes,yes,yes,no,no,no,base,base,base,base,NA,base,base,1,1,1,8672,96.63412381799819,4,37558,90.55099521132352,271410,311.5654321306473,90,1
blouse,noun,yes,yes,yes,no,no,no,blusa,blusa,blusa,blusa,NA,blusa,blusa,0.64,0.64,1,502,5.593903385220836,6,2841,6.84954942742878,1212,1.391316840729319,10.89285714,1.9
cabin,noun,yes,yes,yes,no,no,no,cabine,cabina,cabine,cabina,NA,cabine,cabina,0.75,0.75,0.75,1086,12.101551944919976,5,8911,21.484102410354755,3130,3.593087220695354,13.92857143,1.9
cable,noun,yes,yes,yes,no,no,no,cabo,cable,cabo,cable,NA,cabo,cable,0.67,1,0.67,1836,20.458977321245925,5,16815,40.540363823377305,20177,23.162211134814747,13.92857143,1.65
cafe,noun,yes,yes,yes,no,no,no,café,café,café,café,NA,cafe,cafe,1,1,1,645,7.187385823640317,4,67,0.1615346045891335,49280,56.57103458014922,77.5,1.45
cafeteria,noun,yes,yes,yes,no,no,no,cafeteria,cafetería,cafeteria,cafetería,NA,cafeteria,cafeteria,1,1,1,128,1.4263339308929621,9,2562,6.176890402348657,264,0.30305911382222794,10.53571429,3.7
canal,noun,yes,yes,yes,no,no,no,canal,canal,canal,canal,NA,canal,canal,1,1,1,2121,23.63479896424979,5,47,0.11331531963715334,39108,44.894075088483675,31.07142857,1.8
cancer,noun,yes,yes,yes,no,no,no,câncer,cáncer,câncer,cáncer,NA,cancer,cancer,1,1,1,4023,44.8292297186124,6,39071,94.19878411794082,39069,44.84930499212357,68.75,1.7
capital,noun,yes,yes,yes,no,no,no,capital,capital,capital,capital,NA,capital,capital,1,1,1,13054,145.46377448341192,7,38155,91.99034086714012,161054,184.88213074820112,85.53571429,2.55
carbon,noun,yes,yes,yes,no,no,no,carbono,carbón,carbono,carbón,NA,carbono,carbon,0.78,1,0.78,2219,24.726835880089713,6,11671,28.138363733728013,20187,23.173690646701953,17.5,1.9
center,noun,yes,yes,yes,no,no,no,centro,centro,centro,centro,NA,centro,centro,0.72,0.72,1,509,5.671906022066545,6,249,0.6003300976521528,106892,122.70679846471813,153.2142857,1.85
cheque,noun,yes,yes,yes,no,no,no,cheque,cheque,cheque,cheque,NA,cheque,cheque,1,1,1,1663,18.531197867773407,6,61,0.14706881910353944,9044,10.382070550788749,4.107142857,NA
chocolate,noun,yes,yes,yes,no,no,no,chocolate,chocolate,chocolate,chocolate,NA,chocolate,chocolate,1,1,1,1612,17.962892942183245,9,12516,30.175628522949175,4669,5.359784100136296,14.82142857,3.55
class,noun,yes,yes,yes,no,no,no,classe,clase,classe,clase,NA,classe,clase,0.75,0.71,0.84,17018,189.63555340575337,5,70634,170.29604866490828,118899,136.4902483876859,154.8214286,1.5
club,noun,yes,yes,yes,no,no,no,clube,club,clube,club,NA,clube,club,0.71,1,0.71,15535,173.11013762829816,4,24751,59.67377609232303,55313,63.49662410170036,66.96428571,1.85
coast,noun,yes,yes,yes,no,no,no,costa,costa,costa,costa,NA,costa,costa,0.68,0.68,1,4475,49.865971412078174,5,16746,40.37400729029297,12908,14.817753944004993,49.28571429,1.65
color,noun,yes,yes,yes,no,no,no,cor,color,cor,color,NA,cor,color,0.86,1,0.86,116,1.292615124871747,5,43245,104.26214888741907,51912,59.592442108861725,128.75,1.9
combustion,noun,yes,yes,yes,no,no,no,combustão,combustión,combustão,combustión,NA,combustao,combustion,0.82,1,0.82,318,3.5435483595622026,10,1658,3.997378722519154,4220,4.844354016400765,5.357142857,3.05
company,noun,yes,yes,yes,no,no,no,companhia,compañía,companhia,compañía,NA,companhia,compania,0.64,0.7,0.86,38477,428.7582082731915,7,136971,330.23218395788365,32308,37.08800700518386,81.07142857,2.7
concert,noun,yes,yes,yes,no,no,no,concerto,concierto,concerto,concierto,NA,concerto,concierto,0.8,0.65,0.89,1725,19.222078365549688,7,NA,NA,5564,6.387200414041198,12.5,1.7
conclusion,noun,yes,yes,yes,no,no,no,conclusão,conclusión,conclusão,conclusión,NA,conclusao,conclusion,0.82,1,0.82,4846,54.000111164900744,10,16037,38.66463363874528,47753,54.818113114972924,42.14285714,2.5
conductor,noun,yes,yes,yes,no,no,no,condutor,conductor,condutor,conductor,NA,condutor,conductor,0.92,1,0.92,575,6.4073594551832285,9,NA,NA,6395,7.341147851867984,21.78571429,2.85
