Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
confusión	confusion	 0.89	 0.78	 0.78	 0.89	 0.91	 0.81	 0.78	 0.85	
construcción	construccion	 0.92	 0.67	 0.67	 0.67	 0.93	 0.88	 0.77	 0.88	
continente	continente	 1.00	 1.00	 1.00	 0.90	 1.00	 1.00	 0.85	 1.00	
control 	control 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
crisis  	crisis  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.72	 1.00	
cultura 	cultura 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.97	 1.00	
debate  	debate  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
decisión	decision	 0.88	 0.75	 0.62	 0.88	 0.90	 0.81	 0.65	 0.84	
dimensión	dimension	 0.89	 0.78	 0.78	 0.89	 0.91	 0.80	 0.78	 0.86	
dirección	direccion	 0.89	 0.78	 0.78	 0.89	 0.91	 0.82	 0.67	 0.86	
director	director	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
desastre	desastre	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.91	 1.00	
disco   	disco   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
distancia	distancia	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
división	division	 0.88	 0.75	 0.62	 0.88	 0.90	 0.77	 0.54	 0.84	
doctor  	doctor  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.96	 1.00	
dragón  	dragon  	 0.83	 0.67	 0.67	 0.83	 0.88	 0.67	 0.64	 0.81	
drama   	drama   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
editorial	editorial	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
elefante	elefante	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.91	 1.00	
enigma  	enigma  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
excursión	excursion	 0.89	 0.67	 0.67	 0.89	 0.91	 0.81	 0.78	 0.86	
explosión	explosion	 0.89	 0.67	 0.67	 0.89	 0.91	 0.81	 0.79	 0.87	
expulsión	expulsion	 0.89	 0.67	 0.67	 0.89	 0.91	 0.81	 0.78	 0.86	
extensión	extension	 0.89	 0.67	 0.67	 0.89	 0.91	 0.81	 0.75	 0.85	
exterior	exterior	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.94	 1.00	
factor  	factor  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
familia 	familia 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.85	 1.00	
festival	festival	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
final   	final   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
formula 	formula 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
funeral 	funeral 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
galaxia 	galaxia 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.85	 1.00	
general 	general 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.89	 1.00	
génesis 	genesis 	 0.86	 0.43	 0.43	 0.86	 0.89	 0.71	 0.62	 0.67	
múltiple	multiple	 0.88	 0.12	 0.25	 0.88	 0.90	 0.78	 0.74	 0.64	
música  	musica  	 0.83	 0.17	 0.17	 0.83	 0.88	 0.67	 0.64	 0.59	
musical 	musical 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
nostalgia	nostalgia	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
objeto  	objeto  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
observatorio	observatorio	 1.00	 0.92	 0.92	 0.75	 1.00	 1.00	 0.98	 1.01	
ocasión 	ocasion 	 0.86	 0.71	 0.57	 0.86	 0.89	 0.73	 0.70	 0.83	
océano  	oceano  	 0.83	 0.33	 0.33	 0.83	 0.88	 0.58	 0.58	 0.78	
ópera   	opera   	 0.80	 0.00	 0.00	 0.80	 0.71	 0.67	 0.73	 0.26	
oportunidad	oportunidad	 1.00	 0.91	 0.91	 0.82	 1.00	 1.00	 0.87	 1.00	
original	original	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.91	 1.00	
palacio 	palacio 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.89	 1.00	
pánico  	panico  	 0.83	 0.17	 0.17	 0.83	 0.88	 0.67	 0.64	 0.59	
panorama	panorama	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.91	 1.00	
paraíso 	paraiso 	 0.86	 0.57	 0.57	 0.86	 0.89	 0.69	 0.54	 0.84	
parque  	parque  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
parte   	parte   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
pastor  	pastor  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
paciencia	paciencia	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.97	 1.01	
patio   	patio   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
perfume 	perfume 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
foto    	foto    	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.77	 1.00	
planeta 	planeta 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
planes  	planes  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
plantas 	plantas 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.97	 1.00	
plaza   	plaza   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.83	 1.00	
pretensión	pretension	 0.90	 0.80	 0.80	 0.80	 0.92	 0.82	 0.73	 0.85	
propaganda	propaganda	 1.00	 1.00	 1.00	 0.90	 1.00	 1.00	 0.88	 1.00	
protector	protector	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 0.81	 1.00	
radical 	radical 	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
radio   	radio   	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
rancho  	rancho  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
