English	Part_of_speech	Cognate Eng-Port	Cognate_Eng-Span	Cognate_Port-Spanish	False_Cognate_En-PT	False_Cognate_En-Spanish	False_cognate Port-Span	Similar_word_in_Portuguese	Similar_word_in_Spanish	Translation_in_Portuguese	Translation_in_Spanish	Comments
protector	noun	yes	yes	yes	no	no	no	protetor	protector	protetor	protector 	
radical	noun/adjective	yes	yes	yes	no	no	no	radical	radical	radical	radical 	
radio	noun	yes	yes	yes	no	no	no	rádio	radio	rádio	radio	
ranch	noun	yes	yes	yes	no	no	no	rancho 	rancho	rancho	rancho	
reality	noun	yes	yes	yes	no	no	no	realidade	realidad	realidade	realidad	
region	noun	yes	yes	yes	no	no	no	região	región	região	región	
religion	noun	yes	yes	yes	no	no	no	religião	religión	religião	religión 	
reunion	noun	yes	yes	yes	no	no	no	reunião	reunión	reunião	reunión 	
revision	noun	yes	yes	yes	no	no	no	revisão	revisión	revisão	revisión 	
ritual	noun	yes	yes	yes	no	no	no	ritual	ritual	ritual	ritual	
savor	verb	yes	yes	yes	no	no	no	sabor	sabor	sabor	sabor 	
salary	noun	yes	yes	yes	no	no	no	salário	salario	salário	salario 	
series	noun	yes	yes	yes	no	no	no	série	serie	série	serie 	
sofa	noun	yes	yes	yes	no	no	no	sofá	sofá	sofá	sofá	
subversion	noun	yes	yes	yes	no	no	no	subversão	subversión	subversão 	subversión 	
suggestion	noun	yes	yes	yes	no	no	no	sugestión	sugestão	sugestión	sugerencia	(sugestión also exists in Spanish and means the same)
taxi	noun	yes	yes	yes	no	no	no	táxi	taxi	táxi	taxi 	
television	noun	yes	yes	yes	no	no	no	televisão	televisión	televisão	televisión 	
terror	noun	yes	yes	yes	no	no	no	terror	terror	terror	terror	
total	adjective/noun	yes	yes	yes	no	no	no	total	total	total	total 	
transit	noun	yes	yes	yes	no	no	no	trânsito	tránsito	trânsito	tránsito	
uniform	noun	yes	yes	yes	no	no	no	uniforme	uniforme	uniforme	uniforme	
union	noun	yes	yes	yes	no	no	no	união	unión	união	unión 	
universe	noun	yes	yes	yes	no	no	no	universo	universo	universo	universo 	
university	noun	yes	yes	yes	no	no	no	universidade	universidad	universidade	universidad	
vegetable	noun	yes	yes	yes	no	no	no	vegetal	vegetal	vegetal	vegetal	
velocity	noun	yes	yes	yes	no	no	no	velocidade	velocidad	velocidade	velocidad	
version	noun	yes	yes	yes	no	no	no	versão	versión	versão	versión 	
violin	noun	yes	yes	yes	no	no	no	violino	violín	violino	violín	False cognate in portuguese: violão
advertising	noun	yes	yes	yes	yes	yes	no	advertência	advertencia	propaganda/publicidade	publicidad	
dance	verb/noun	no	no	no	no	no	no	dança	danza	dança	danza/baile	
jug	noun	no	no	no	yes	yes	yes	jugo	jugo	jarra	jarra	jugo is a false cognate in portuguese/spanish too
jar	noun	no	no	no	yes	yes	no	jarra	jarra	frasco	frasco	
vial	noun	no	yes	no	no	no	no	via	vial	frasco	vial	vial can also be a road or something referring to roads in Spanish (administración vial)
sob	noun/verb	no	no	yes	yes	no	no	sob	sobre	soluçar	sollozar	
leopard	noun	yes	yes	yes	no	no	no	leopardo	leopardo	leopardo	leopardo	
hippopotamus	noun	yes	yes	yes	no	no	no	hipopótamo	hipopótamo	hipopótamo	hipopótamo	
group	noun	yes	yes	yes	no	no	no	grupo	grupo	grupo	grupo	
problem	noun	yes	yes	yes	no	no	no	problema	problema	problema	problema	
human	noun	yes	yes	yes	no 	no	no	humano	humano	humano	humano	
information	noun	yes	yes	yes	no	no	no	informação	información	informação	información	
moment	noun	yes	yes	yes	no	no	no	momento	momento	momento	momento	
list	noun	yes	yes	yes	no	no	no	lista	lista	listas	listas	
air	noun	yes	yes	yes	no	no	no	ar	aire	ar	aire	
mortal	noun/adjective	yes	yes	yes	no	no	no	mortal	mortal	mortal	mortal	
exam	noun	yes	yes	yes	no	no	no	exame	examen	exame	examen	
computer	noun	yes	yes	yes	yes	no	no	computador	computadora	computador	ordenador	both 'computadora' and ordenador are possible as translation into Spanish
apartment	noun	yes	yes	yes	no	no	no	apartamento	apartamento	apartamento	apartamento	
animal	noun	yes	yes	yes	no	no	no	animal	animal	animal	animal	
actor	noun	yes	yes	yes	no	no	no	ator	actor	ator	actor	
movement	noun	yes	yes	yes	no	no	no	movimento	movimiento	movimento	movimiento	
