subject	item	sentcond	questcond	dependnum	starttime	endtime	subresp	correctresp	accuracy
4	38	 2	 12	1	4722337	4724371	7		0
4	76	 4	 12	1	4737025	4739379	7		0
4	40	 4	 12	1	4744846	4748183	7		0
4	32	 4	 12	1	4773665	4775880	7		0
4	21	 1	 11	1	4781375	4782739	6		0
4	57	 1	 12	1	4810704	4812498	7		0
4	23	 3	 12	1	4846817	4849080	7		0
4	12	 4	 12	1	4892656	4894216	7		0
4	53	 1	 12	1	4906034	4907832	7		0
4	71	 3	 12	1	4914912	4916722	7		0
4	72	 4	 11	1	4923216	4926088	6		0
4	69	 1	 12	1	4938544	4940203	7		0
4	25	 1	 12	1	4970126	4971779	7		0
4	9	 1	 12	1	4988816	4990536	6		0
4	65	 1	 12	1	5010502	5013947	7		0
4	36	 4	 11	1	5023604	5026104	7		0
4	24	 4	 12	1	5032865	5034440	7		0
4	15	 3	 11	1	5064335	5065758	6		0
4	98	 2	 12	1	5077745	5079779	7		0
4	6	 2	 11	1	5086369	5088649	6		0
4	29	 1	 11	1	5119378	5121577	6		0
4	62	 2	 11	1	5129296	5133481	7		0
4	55	 3	 11	1	5143938	5145363	6		0
4	78	 2	 12	1	5166127	5167827	7		0
4	92	 4	 12	1	5185870	5188616	6		0
4	49	 1	 12	1	5195172	5196569	7		0
4	45	 1	 12	1	5202961	5204693	7		0
4	97	 1	 12	1	5210800	5211948	7		0
4	88	 4	 11	1	5217666	5219225	6		0
4	35	 3	 12	1	5227729	5230697	7		0
4	59	 3	 11	1	5295584	5300249	6		0
4	95	 3	 12	1	5313651	5315176	7		0
4	51	 3	 11	1	5324320	5326236	7		0
4	42	 2	 12	1	5335296	5336824	7		0
4	43	 3	 12	1	5352481	5354298	7		0
4	48	 4	 11	1	5369903	5371385	6		0
4	58	 2	 11	1	5386322	5388218	6		0
4	52	 4	 11	1	5401168	5402553	6		0
4	50	 2	 12	1	5409360	5410780	7		0
4	94	 2	 12	1	5427328	5429253	7		0
4	18	 2	 11	1	5434693	5436376	6		0
4	56	 4	 11	1	5446996	5448552	6		0
5	1	 1	 1	1	779388	786687	7		0
5	4	 1	 1	1	822390	825323	6		0
5	5	 1	 1	1	918835	923403	7		0
5	2	 1	 1	1	948185	957499	7		0
5	3	 1	 1	1	979555	982727	6		0
5	12	 1	 12	1	1145335	1149916	7		0
5	19	 4	 12	1	1199070	1203396	7		0
5	35	 4	 12	1	1254149	1257899	7		0
5	65	 2	 12	1	1275188	1279104	7		0
5	38	 3	 12	1	1290334	1297196	7		0
5	78	 3	 12	1	1312714	1315260	7		0
5	55	 4	 11	1	1338437	1342553	6		0
5	51	 4	 11	1	1357874	1360691	6		0
5	9	 2	 12	1	1372219	1375004	6		0
5	25	 2	 12	1	1387757	1391413	7		0
5	88	 1	 11	1	1438350	1443532	6		0
5	92	 1	 12	1	1456106	1458737	7		0
5	56	 1	 11	1	1475440	1478756	6		0
5	11	 4	 11	1	1494249	1499166	6		0
5	43	 4	 12	1	1510933	1513421	7		0
5	36	 1	 11	1	1544311	1550958	6		0
5	52	 1	 11	1	1602504	1605486	6		0
5	97	 2	 12	1	1635384	1637698	7		0
5	6	 3	 11	1	1651685	1654966	6		0
5	53	 2	 12	1	1674923	1678158	7		0
5	40	 1	 12	1	1689766	1694718	7		0
5	24	 1	 12	1	1706955	1710335	7		0
5	45	 2	 12	1	1728920	1734253	7		0
5	62	 3	 11	1	1749588	1752774	6		0
5	47	 4	 11	1	1768334	1770738	6		0
5	54	 3	 12	1	1832231	1834554	7		0
5	48	 1	 11	1	1848001	1853378	6		0
5	21	 2	 11	1	1864180	1866398	6		0
5	98	 3	 12	1	1887324	1889406	7		0
5	57	 2	 12	1	1899863	1902334	7		0
5	18	 3	 11	1	1915974	1920571	6		0
5	71	 4	 12	1	1941866	1943523	7		0
5	29	 2	 11	1	1959925	1964653	6		0
5	50	 3	 12	1	2002711	2006108	7		0
5	27	 4	 11	1	2036951	2039243	6		0
5	91	 4	 11	1	2051590	2053711	6		0
5	94	 3	 12	1	2064070	2069071	7		0
5	64	 1	 12	1	2096280	2101819	6		0
5	95	 4	 12	1	2119960	2123409	7		0
5	42	 3	 12	1	2138345	2140608	7		0
5	32	 1	 12	1	2180649	2182797	7		0
5	23	 4	 12	1	2196299	2198592	7		0
5	15	 4	 11	1	2218219	2220909	6		0
5	22	 3	 11	1	2259623	2263457	6		0
5	59	 4	 11	1	2315739	2320575	6		0
5	69	 2	 12	1	2377260	2379230	7		0
5	58	 3	 11	1	2407835	2411206	6		0
5	76	 1	 12	1	2435626	2438254	7		0
5	49	 2	 12	1	2445207	2448650	7		0
5	72	 1	 11	1	2456187	2458718	6		0
6	3	 1	 1	1	1264954	1270054	7		0
6	1	 1	 1	1	1308797	1313169	7		0
6	5	 1	 1	1	1326905	1331873	7		0
6	4	 1	 1	1	1344401	1349442	6		0
6	2	 1	 1	1	1366253	1370097	7		0
6	47	 1	 11	1	1464598	1467543	7		0
6	62	 4	 11	1	1503666	1508147	6		0
6	25	 3	 12	1	1546486	1551431	7		0
6	35	 1	 12	1	1562360	1566772	7		0
6	58	 4	 11	1	1591674	1594335	6		0
6	36	 2	 11	1	1617756	1623423	7		0
6	18	 4	 11	1	1634670	1642159	6		0
6	65	 3	 12	1	1696491	1700544	7		0
6	6	 4	 11	1	1712962	1714892	6		0
6	12	 2	 12	1	1745385	1747970	7		0
6	56	 2	 11	1	1785482	1791186	6		0
6	49	 3	 12	1	1814725	1816504	7		0
6	69	 3	 12	1	1887677	1891030	7		0
6	45	 3	 12	1	1923508	1928137	6		0
6	40	 2	 12	1	1968449	1975140	7		0
6	15	 1	 11	1	2271357	2273890	6		0
6	21	 3	 11	1	2294030	2297091	6		0
6	48	 2	 11	1	2305807	2308116	6		0
6	51	 1	 11	1	2336352	2337925	6		0
6	98	 4	 12	1	2351726	2355908	7		0
6	72	 2	 11	1	2368559	2374178	7		0
6	78	 4	 12	1	2389033	2391325	7		0
6	76	 2	 12	1	2406993	2412437	6		0
6	50	 4	 12	1	2442652	2445937	7		0
6	95	 1	 12	1	2479844	2486231	7		0
6	38	 4	 12	1	2508343	2512762	7		0
6	24	 2	 12	1	2541792	2547794	7		0
6	54	 4	 12	1	2574989	2580294	7		0
6	64	 2	 12	1	2589852	2598638	6		0
6	9	 3	 12	1	2612189	2616384	6		0
6	71	 1	 12	1	2653663	2655938	7		0
6	91	 1	 11	1	2669438	2675270	6		0
6	97	 3	 12	1	2696701	2699583	7		0
6	94	 4	 12	1	2722061	2727717	7		0
6	27	 1	 11	1	2740046	2742726	6		0
6	43	 1	 12	1	2795806	2801429	7		0
6	22	 4	 11	1	2842268	2845031	6		0
6	11	 1	 11	1	2857969	2861827	6		0
6	52	 2	 11	1	2876556	2882631	6		0
6	88	 2	 11	1	2924093	2927654	6		0
6	23	 1	 12	1	2951991	2954215	7		0
6	57	 3	 12	1	3033892	3037560	7		0
6	42	 4	 12	1	3064959	3067717	7		0
6	19	 1	 12	1	3099406	3102992	7		0
6	29	 3	 11	1	3158671	3163497	7		0
6	53	 3	 12	1	3182112	3186681	7		0
6	55	 1	 11	1	3199620	3205373	6		0
6	32	 2	 12	1	3219455	3221865	7		0
6	92	 2	 12	1	3242767	3244264	7		0
6	59	 1	 11	1	3268421	3273514	6		0
7	2	 1	 1	1	4661939	4666535	7		0
7	1	 1	 1	1	4685624	4697636	6		0
7	5	 1	 1	1	4747775	4752355	7		0
7	4	 1	 1	1	4764552	4768063	6		0
7	3	 1	 1	1	4790520	4792351	6		0
7	56	 3	 11	1	4904551	4909705	7		0
7	24	 3	 12	1	4920010	4923213	7		0
7	69	 4	 12	1	4950713	4952340	7		0
7	27	 2	 11	1	4963462	4966031	6		0
7	54	 1	 12	1	4976650	4979993	7		0
7	94	 1	 12	1	4992665	4997405	6		0
7	21	 4	 11	1	5048806	5055353	6		0
7	42	 1	 12	1	5093354	5095310	7		0
7	36	 3	 11	1	5189726	5199922	6		0
7	58	 1	 11	1	5229079	5231514	6		0
7	64	 3	 12	1	5240059	5246478	7		0
7	59	 2	 11	1	5345418	5350734	6		0
7	12	 3	 12	1	5404724	5407070	7		0
7	48	 3	 11	1	5426984	5429953	6		0
7	29	 4	 11	1	5466760	5471457	7		0
7	43	 2	 12	1	5509850	5514705	7		0
7	52	 3	 11	1	5547375	5553554	6		0
7	38	 1	 12	1	5575658	5583872	7		0
7	15	 2	 11	1	5617690	5620595	6		0
7	6	 1	 11	1	5630425	5632353	6		0
7	32	 3	 12	1	5642862	5644404	7		0
7	71	 2	 12	1	5665225	5667943	6		0
7	92	 3	 12	1	5677960	5684891	6		0
7	53	 4	 12	1	5695593	5698557	7		0
7	9	 4	 12	1	5711036	5713447	6		0
7	50	 1	 12	1	5725322	5738151	6		0
7	19	 2	 12	1	5746829	5750166	7		0
7	51	 2	 11	1	5764523	5766503	6		0
7	88	 3	 11	1	5778395	5780487	6		0
7	65	 4	 12	1	5794366	5798498	7		0
7	47	 2	 11	1	5879611	5881928	6		0
7	22	 1	 11	1	5901423	5906360	6		0
7	45	 4	 12	1	5915965	5923556	7		0
7	55	 2	 11	1	5936957	5943267	6		0
7	78	 1	 12	1	5968475	5975219	6		0
7	11	 2	 11	1	5984781	5987044	6		0
7	35	 2	 12	1	6043402	6046921	7		0
7	18	 1	 11	1	6056030	6059993	6		0
7	40	 3	 12	1	6068948	6072873	6		0
7	97	 4	 12	1	6092074	6094585	7		0
7	49	 4	 12	1	6144463	6147405	7		0
7	98	 1	 12	1	6181900	6183501	7		0
7	62	 1	 11	1	6197772	6202212	6		0
7	57	 4	 12	1	6211597	6213717	7		0
7	76	 3	 12	1	6227634	6234278	6		0
7	23	 2	 12	1	6254205	6256805	7		0
7	91	 2	 11	1	6267071	6273425	6		0
7	95	 2	 12	1	6287838	6291173	7		0
7	25	 4	 12	1	6304288	6308709	6		0
7	72	 3	 11	1	6319007	6322037	7		0
8	4	 1	 1	1	210090	214733	6		0
8	1	 1	 1	1	233192	240253	7		0
8	2	 1	 1	1	259683	264205	7		0
8	3	 1	 1	1	276901	281917	6		0
8	5	 1	 1	1	292169	294460	7		0
8	76	 4	 12	1	442874	445213	7		0
8	6	 2	 11	1	455461	457800	6		0
8	94	 2	 12	1	471919	474772	7		0
8	97	 1	 12	1	483246	484992	7		0
8	52	 4	 11	1	497412	500440	6		0
8	32	 4	 12	1	543946	545773	7		0
8	59	 3	 11	1	556204	559648	6		0
8	15	 3	 11	1	568655	572688	7		0
8	51	 3	 11	1	595302	597488	6		0
8	65	 1	 12	1	627466	631900	7		0
8	27	 3	 11	1	662503	664785	6		0
8	50	 2	 12	1	691189	692953	7		0
8	21	 1	 11	1	699258	701101	6		0
8	24	 4	 12	1	725455	727137	7		0
8	45	 1	 12	1	737339	744385	7		0
8	12	 4	 12	1	756389	759053	7		0
8	35	 3	 12	1	769450	777293	7		0
8	92	 4	 12	1	792992	795245	7		0
8	72	 4	 11	1	806568	809889	6		0
8	42	 2	 12	1	855424	858676	7		0
8	56	 4	 11	1	869676	871585	6		0
8	88	 4	 11	1	880536	882493	6		0
8	48	 4	 11	1	891146	898766	6		0
8	69	 1	 12	1	910911	912993	7		0
8	55	 3	 11	1	939095	940669	6		0
8	57	 1	 12	1	1066368	1068754	7		0
8	58	 2	 11	1	1086347	1088558	6		0
8	54	 2	 12	1	1099883	1103745	7		0
8	53	 1	 12	1	1109929	1116174	7		0
8	43	 3	 12	1	1135765	1138368	7		0
8	19	 3	 12	1	1150746	1153026	7		0
8	62	 2	 11	1	1163943	1169010	6		0
8	64	 4	 12	1	1176745	1183747	6		0
8	98	 2	 12	1	1203640	1213243	7		0
8	78	 2	 12	1	1239255	1243819	6		0
8	25	 1	 12	1	1253865	1260867	7		0
8	95	 3	 12	1	1272183	1275594	7		0
8	29	 1	 11	1	1287110	1291795	6		0
8	36	 4	 11	1	1339352	1342396	7		0
8	9	 1	 12	1	1352795	1356015	7		0
8	23	 3	 12	1	1390214	1391927	7		0
8	38	 2	 12	1	1402789	1404944	7		0
8	11	 3	 11	1	1414777	1417988	6		0
8	40	 4	 12	1	1455575	1459587	7		0
8	22	 2	 11	1	1478348	1481104	6		0
8	49	 1	 12	1	1511465	1513612	7		0
8	91	 3	 11	1	1522680	1526160	6		0
8	18	 2	 11	1	1543253	1545880	6		0
8	71	 3	 12	1	1611991	1613804	7		0
8	47	 3	 11	1	1621869	1623616	6		0
9	4	 1	 1	1	1079378	1085780	6		0
9	2	 1	 1	1	1102406	1105976	7		0
9	3	 1	 1	1	1130848	1133991	6		0
9	1	 1	 1	1	1153911	1157065	7		0
9	5	 1	 1	1	1169662	1172680	7		0
9	36	 1	 11	1	1335955	1341252	7		0
9	32	 1	 12	1	1360834	1362933	7		0
9	57	 2	 12	1	1372208	1375590	7		0
9	76	 1	 12	1	1404964	1407833	7		0
9	49	 2	 12	1	1416914	1419079	7		0
9	56	 1	 11	1	1432208	1435588	6		0
9	58	 3	 11	1	1515618	1528039	7		0
9	51	 4	 11	1	1549732	1551592	6		0
9	78	 3	 12	1	1561903	1564312	7		0
9	88	 1	 11	1	1616860	1620880	6		0
9	48	 1	 11	1	1645181	1648264	6		0
9	35	 4	 12	1	1681375	1685304	6		0
9	47	 4	 11	1	1698302	1701273	6		0
9	42	 3	 12	1	1726511	1728546	7		0
