word,pos,wl,freq_per_million
anglo-saxon,np0,11,3.075532538
angola,np0,6,4.256715325
anguish,nn1,7,6.251354181
angus,nn1-np0,5,3.376399852
angus,np0,5,3.443259255
animal,nn1,6,70.93782659
animals,nn2,7,90.83964222
animation,nn1,9,3.532405126
animosity,nn1,9,2.206360299
anita,np0,5,1.972352389
anjou,nn1-np0,5,1.504336568
ankara,np0,6,1.281471891
ankle,nn1,5,8.903443834
ankle,nn1-vvb,5,1.270328657
ankles,nn2,6,4.769304081
annabel,np0,7,2.039211792
annals,nn2,6,1.270328657
annan,np0,5,1.125466617
annexation,nn1,10,1.370617762
annexe,nn1,6,1.270328657
annie,nn1-np0,5,1.292615125
annie,np0,5,9.482891994
annihilation,nn1,12,1.303758359
anniversary,nn1,11,21.58444394
announcement,nn1,12,25.55143518
announcements,nn2,13,3.732983335
annoyance,nn1,9,5.248463136
annual,np0,6,3.621550996
annuity,nn1,7,1.615768906
anomalies,nn2,9,3.77755627
anomaly,nn1,7,2.685519354
anonymity,nn1,9,2.830381394
anorak,nn1,6,1.894349752
anorexia,nn1,8,3.164678409
anselm,nn1-np0,6,2.852667862
anselm,np0,6,2.796951693
answer,nn1,6,89.81446471
answer,nn1-vvb,6,5.281892838
answers,nn2,7,28.28152747
answers,nn2-vvz,7,5.226176669
antagonism,nn1,10,2.874954329
antagonist,nn1,10,1.181182787
antagonists,nn2,11,1.493193334
antarctic,np0,9,3.164678409
antarctica,np0,10,2.997529902
antecedents,nn2,11,1.77177418
antennae,nn2,8,1.77177418
anthea,np0,6,1.292615125
anthem,nn1,6,2.340079105
anthology,nn1,9,1.927779453
anthony,np0,7,24.84941145
anthropologist,nn1,14,2.785808459
anthropologists,nn2,15,4.992168758
anthropology,nn1,12,6.975664381
anti-semitism,nn1,13,1.62691214
antibiotic,nn1,10,2.640946419
antibiotics,nn2,11,5.047884927
antibodies,nn2,10,8.312852441
antibody,nn1,8,8.357425376
anticipation,nn1,12,8.825441197
antics,nn1,6,1.236898956
antics,nn2,6,1.392904229
antidote,nn1,8,1.972352389
antigen,nn1,7,4.279001793
antigens,nn2,8,2.908384031
antigua,np0,7,1.214612488
antipathy,nn1,9,1.894349752
antiques,nn2,8,4.535296171
antiquities,nn2,11,2.351222339
antiquity,nn1,9,3.833272439
antithesis,nn1,10,2.117214429
antlers,nn2,7,1.147753085
antoine,np0,7,1.560052737
antoinette,nn1-np0,10,1.638055374
anton,np0,5,2.629803185
antonia,np0,7,1.727201244
antonio,np0,7,6.084205674
antony,nn1-np0,6,2.072641493
antony,np0,6,1.660341841
antrim,np0,6,4.334717962
antrum,nn1,6,1.19232602
antwerp,nn1-np0,7,1.716058011
anxieties,nn2,9,5.582760151
anxiety,nn1,7,27.24520673
apartheid,nn1,9,3.866702141
apartment,nn1,9,14.17419344
apartments,nn2,10,6.418502689
apathy,nn1,6,2.73009229
aperture,nn1,8,1.571195971
aphasia,nn1,7,1.24804219
aphids,nn2,6,1.33718806
apollo,np0,6,3.599264529
apologies,nn2,9,4.713587912
apology,nn1,7,7.053667018
apostle,nn1,7,1.281471891
apostles,nn2,8,2.117214429
apothecary,nn1,10,1.114323384
apparatus,nn1,9,11.72268199
apparition,nn1,10,1.125466617
appeal,nn1,6,90.65020725
appeal,nn1-vvb,6,10.80893682
appeal,np0,6,1.270328657
appeals,nn2,7,11.1320906
appeals,nn2-vvz,7,4.178712688
appearance,nn1,10,59.60515778
appearances,nn2,11,12.84814861
appeasement,nn1,11,1.04746398
appellant,nn1,9,4.256715325
appellants,nn2,10,2.362365573
appendices,nn2,10,1.214612488
appendix,nn1,8,17.7846012
appetite,nn1,8,9.572037864
appetites,nn2,9,1.905492986
applause,nn1,8,5.192746967
apple,nn1,5,20.11353707
apple,nn1-np0,5,2.462654678
apple,nn1-vvb,5,1.794060647
apple,np0,5,2.195217066
appleby,np0,7,1.649198608
apples,nn2,6,6.563364729
apples,nn2-vvz,6,1.571195971
appliance,nn1,9,1.582339205
appliances,nn2,10,4.96988229
applicability,nn1,13,2.362365573
